Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,59551,59551.00,1152.00,DSF0001035045
1,M019,P.S. 19 - MANHATTAN,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,8/27/2020,FTK,,FTK,280292.00,278291.00,DSF0000912698
1,M019,P.S. 19 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,84000.00,0.00,DSF0001035064
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,65000.00,0.00,DSF0001086175
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,5/26/2021,10/12/2021,1/21/2022,124674,160574.00,160574.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,1/21/2022,6/22/2022,5/10/2022,613841,514021.00,397500.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,9/19/2022,6/9/2024,,12987707,11795622.00,3238954.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,9/19/2022,6/9/2024,,944133,98237.00,97420.00,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413"
1,M020,P.S. 20 - MANHATTAN,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,In-Progress,3/22/2019,DOER,,DOER,162518.00,0.00,DSF0000890659
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,195021.00,0.00,DSF0001008690
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,193921.00,191326.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,538199.00,376782.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,19864686.00,194336.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1368850,64405.00,64257.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,1/27/2023,7/26/2023,4/24/2023,6958,6958.00,6958.00,DSF0001068169
1,M022,NEW EXPLORATIONS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,5/2/2023,10/27/2023,9/30/2023,27831,27831.00,27831.00,DSF0001068169
1,M022,NEW EXPLORATIONS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,PNS,PNS,PNS,PNS,7206,7206.00,2511.00,DSF0001068169
1,M022,NEW EXPLORATIONS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",PNS,PNS,PNS,PNS,1123,1123.00,1123.00,DSF0001068169
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,6000.00,0.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,88000.00,0.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,6000.00,0.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087037
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,50000.00,0.00,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,80736.00,0.00,DSF0000961298
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,8/16/2022,DOER,,DOER,189971.00,0.00,DSF0001033234
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,125000.00,0.00,DSF0001035621
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,10/23/2018,3/13/2019,1/24/2020,118770,256320.00,253155.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,1/24/2020,6/24/2020,5/5/2021,586080,535372.00,483848.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,In-Progress,8/13/2021,8/11/2024,,12514695,11644346.00,8956958.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",In-Progress,8/13/2021,8/11/2024,,889665,495227.00,472861.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450.00,4450.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800.00,17800.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076.00,168082.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234839,234313.00,195268.00,DSF0000960787
1,M025,I.S. 378 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2/1/2019,EMER,,EMER,518927.00,516189.00,SCA0000056151
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Scope,Complete,10/19/2018,12/30/2019,3/31/2020,284717,338485.00,328294.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Design,Complete,12/7/2020,5/10/2021,5/18/2021,1412815,1120775.00,912804.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Construction,In-Progress,7/5/2022,12/20/2024,,30857060,28238633.00,14424029.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,"CM,F&E",In-Progress,7/5/2022,12/20/2024,,2073759,318869.00,311121.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,140000,140000.00,0.00,DSF0000913873
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001007798
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,DOER,,DOER,34574.00,0.00,DSF0001007800
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,52899.00,0.00,DSF0001035626
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/25/2022,DOES,,DOES,92365.00,0.00,DSF0001008949
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,27380,41115.00,41115.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,136900,141882.00,135687.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,PNS,PNS,PNS,3080255,3080255.00,3153.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,PNS,PNS,PNS,191660,191660.00,14013.00,DSF0000992308
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,135748,135748.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1990967,1990967.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,135748,135748.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-ABATEMENT ONLY OF FLOOR TILES IN ROOMS: RM #201 SCIENCE LAB APPROX. 530SF STORAGE ROOM IN #201(,Construction,Complete,3/27/2023,IEH,5/14/2023,IEH,27172.00,20915.00,SCA0000071846
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.00,0.00,DSF0000913568
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY19 RESO A ROOM CONVERSION,Construction,Complete,2/6/2020,DOER,7/1/2022,DOER,307723.00,307723.00,DSF0000890669
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,120291.00,0.00,DSF0000913081
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,8669.00,0.00,DSF0001007786
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,77422.00,77422.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,196603.00,179657.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5005043,5005043.00,276148.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,450541,450541.00,60558.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,Scope,Complete,1/9/2018,5/10/2018,3/1/2018,0,66496.00,66496.00,DSF0000866327
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,4289,4456.00,4456.00,DSF0000866327
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,62900,7234392.00,4935.00,DSF0000866327
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP RESOA,FY18 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,4289,493254.00,2972.00,DSF0000866327
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,"PO18-ABATE AND REPLACE FLOOR TILES IN ROOMS RMS:117, 202, 203, 205, 207, 206, 208, 209, 210, 211, 30",Construction,In-Progress,9/5/2023,IEH,,IEH,453.00,453.00,SCA0000072271
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,COVID VENTILATION,Construction,In-Progress,11/3/2020,FTK,,FTK,278312.00,178108.00,DSF0000961040
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,FTK,,FTK,1767085.00,1630466.00,DSF0000912294
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/1/2023,DIIR,5/22/2023,DIIR,105000.00,24376.00,DSF0001033223
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,53000.00,0.00,DSF0001086193
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,DOER,,DOER,38764.00,0.00,DSF0000961294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,1750000.00,0.00,DSF0001035641
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,Complete,7/25/2022,DOES,9/21/2022,DOES,127681.00,0.00,DSF0001034418
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,11712.00,11712.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,112841.00,109278.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2311456.00,1413461.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,417765.00,335701.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,1887.00,1887.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,7549.00,7549.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,202411.00,3008.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,45523,14795.00,10437.00,DSF0001034584
1,M061,M094 SPED - MANHATTAN,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,In-Progress,5/1/2023,,,75000,75000.00,7951.00,DSF0001035643
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,80000.00,0.00,DSF0000913571
1,M061,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,70000.00,0.00,DSF0001035644
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001086194
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,7/29/2022,DOER,,DOER,219727.00,0.00,DSF0001033207
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001035645
1,M061,P.S. 315 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/31/2022,DOES,,DOES,72044.00,0.00,DSF0001008951
1,M063,P.S. 63 - MANHATTAN,SCA IEH,PO18-ABATE AND REPLACE FLOORING IN 2DN FLOOR SLOP SINK,Construction,Complete,8/8/2023,IEH,9/17/2023,IEH,14847.00,1597.00,SCA0000072206
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,160000.00,0.00,DSF0001035647
1,M063,P.S. 63 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,12/6/2021,DOEL,7/8/2022,DOEL,50379.00,50379.00,
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,202779.00,0.00,DSF0001033635
1,M063,P.S. 363 - MANHATTAN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001035646
1,M063,P.S. 363 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,7/27/2022,DOES,,DOES,94774.00,0.00,DSF0001009098
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/20/2019,11/5/2019,12/23/2019,111561,221060.00,216997.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,1/8/2020,6/9/2020,6/30/2020,551747,677260.00,663390.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,5/24/2021,5/23/2023,,11889967,11112822.00,5506319.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,5/24/2021,5/23/2023,,826395,376706.00,364338.00,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,12/2/2019,3/4/2020,2/11/2020,0,27214.00,27214.00,DSF0000913307
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Design,In-Progress,2/11/2020,6/25/2020,,75083,115399.00,76894.00,DSF0000913307
